request_id,request_time,pickup_x,pickup_y,dest_x,dest_y,car_type,status,match_time,pickup_time,dropoff_time,driver_id
1,0,10.27543326375274,19.04934776536539,9.182634638213367,5.385589548828424,economy,completed,0.0,0.40909428108953994,9.547353231141537,6
2,0,0.11418258900785849,15.673104652307796,17.723591616520164,14.810068236663927,premium,completed,0.0,4.510496362318649,16.26419305084008,4
3,1,1.1224659504148082,17.400203103532796,3.9967884035428614,10.094409348577267,economy,completed,1.0,1.587910766884837,6.821832260564452,3
4,4,9.162936001994488,0.5594996816768472,3.544225178771654,11.689217415568827,premium,completed,4.0,10.411125310902761,18.722844698506723,17
5,5,13.462270508774141,1.6646827560779576,0.29119949849624627,15.111735505043963,economy,completed,5.0,7.541199439420696,20.089777742094526,11
6,5,12.496041683049526,6.888457281929899,3.19251049387695,10.547607980960256,economy,completed,5.0,5.817152433663362,12.481988063081765,13
7,5,14.231798543705459,9.094032600913277,9.475420283405578,0.4726915526397413,economy,completed,5.0,6.917300634767837,13.481535569479473,14
8,6,17.996370007120404,10.202319618573528,12.11297280068033,16.340793367557737,economy,completed,6.0,9.453484374940816,15.12192420166622,1
9,9,13.56351590553895,10.894043271578088,19.511890356357668,15.95621715412302,economy,completed,9.0,11.080186071700389,16.287393172302952,10
10,11,6.4249161869025055,12.61895722542694,5.972118992460267,19.358066203017785,premium,completed,11.0,12.731951560556352,17.23482052803526,2
11,13,14.876842373342424,8.32344525530051,0.16960524927337683,17.574357964176933,economy,completed,13.0,17.110473714033684,28.69364560299678,8
12,14,19.475504723193833,14.080462846601428,7.559376686872161,6.938617691252434,economy,completed,14.0,16.6593557290565,25.920986485414048,5
13,14,8.659002422006326,3.882372899703792,13.319150565573652,5.921453461663031,economy,completed,14.0,15.061204973824124,18.452358842226374,6
14,14,17.432430148471102,17.993565392695622,4.017060228815188,6.55481410192535,van,completed,14.0,24.747536586866786,36.50087523638926,20
15,15,13.489101394475265,16.754021403079285,6.8769962958163955,17.64786404932927,economy,completed,15.0,16.404695444867883,20.852860535327633,12
16,16,1.693604608329684,3.3938828358877515,4.259363899828483,15.182323654328805,economy,completed,16.0,20.723544391510714,28.766497350379588,3
17,16,7.362159988112982,6.805704700039761,17.348396471738056,12.079650577834224,van,canceled,,,,
18,17,2.085499960292272,0.7827559719382116,17.323367147331442,15.762328974504527,premium,completed,17.0,31.00500545472874,45.25016375499278,4
19,19,4.474281454975384,1.6348652470478742,17.815362557106106,11.288936664803948,van,completed,37.0,40.294098965271864,51.272573660232695,20
20,19,5.543655322153967,15.740293271206575,0.24763488973333248,13.40823278047862,economy,completed,19.0,19.479675708085836,23.33750114927424,15
21,21,19.763169972120654,8.420271748605346,3.3476687492266355,4.828405701956862,premium,completed,21.0,32.03006348290912,43.23264616322393,17
22,23,18.184454563014224,5.880471698970955,9.540201919445357,2.0025828790090405,economy,completed,23.0,26.24365106305188,32.55980761117275,6
23,26,8.996890692601955,6.265617221378559,18.26784034331881,19.39626553676231,van,canceled,,,,
24,29,13.236688577506985,5.1817198370729,6.14642235625027,4.927623921701844,economy,completed,29.0,31.72729686952794,36.45717541260103,9
25,29,19.66753434438805,8.95804481066591,12.869321605396832,18.814690444980002,economy,completed,29.0,33.6666019614437,41.64905938326078,10
