request_id,request_time,pickup_x,pickup_y,dest_x,dest_y,car_type,status,match_time,pickup_time,dropoff_time,driver_id
1,0,14.518985749545962,18.153072419026415,14.895654485547084,1.1751779279731145,economy,completed,0.0,3.1751219845097083,14.496503539112362,2
2,1,2.125319652910498,10.447253307178599,4.896639559380338,4.20957877391293,premium,completed,1.0,4.174167999370139,8.724567132386303,12
3,2,3.4376198425146476,13.455308828270836,19.091243306914954,0.5068942965380208,premium,completed,2.0,6.2153456518978585,19.758648489681452,18
4,2,5.113801081148852,16.267087748045515,3.6747761850195237,13.829908520271815,economy,completed,2.0,3.7373462531893535,5.624217295119958,17
5,4,12.30478966649715,14.849192462515592,6.744275463932905,0.6162171525337712,economy,completed,4.0,5.778582192395815,15.96565252408961,19
6,4,14.79893327441401,18.040403167000736,17.248915526508558,14.10690280101531,economy,completed,4.0,8.594091802491345,11.683488591135134,9
7,5,8.956437228383024,17.495260826959345,11.699113962212149,7.859051002103348,economy,completed,5.0,9.451247025911734,16.130528938577324,3
8,5,19.194623729743217,5.18192846504411,8.395110913114937,0.3606643824985323,economy,completed,5.0,7.7052606390053775,15.589818385502642,1
9,6,3.2233003036246832,1.9174388726636638,10.165183680712872,19.669321880950555,van,completed,6.0,11.58169943547508,24.288986848801656,20
10,7,11.82474691095996,12.483281015095645,14.189966076586993,5.132185769760699,economy,completed,7.0,9.471767636682603,14.619922128339912,5
11,7,0.0964956210725676,0.7099882341552921,2.22349934459952,14.4753934573861,economy,completed,7.0,10.870242792432997,20.156086876596746,8
12,9,10.41472728095795,9.288062222876805,12.835175153613495,4.248994839889795,van,completed,9.0,9.364769774427623,13.09159553099171,13
13,10,8.360327769649128,10.501290646395237,1.8757357691663668,16.053104174107723,economy,completed,10.0,13.83168605780308,19.522714742758467,17
14,10,18.429006951837387,12.210206742060606,19.670421471066376,7.444534198682682,economy,completed,10.0,11.19730168536891,14.48044007547059,7
15,10,2.0232375122631363,6.118447214125298,13.45143509289532,0.3144414442867638,economy,completed,10.0,12.336422224945043,20.88147102965025,6
16,10,9.717258880040022,4.164937867155953,1.4757862695050594,5.687187019607718,economy,completed,10.0,10.181127934024092,15.768379823512761,16
17,11,3.8471825593364772,11.431054826586617,9.264487644980148,15.071610114714368,economy,completed,12.0,21.11083869552307,25.462126484307532,9
18,15,15.544238692995973,14.470365599662593,7.151692354619437,9.1407142790357,premium,completed,15.0,19.980845693578697,26.608733483189347,14
19,15,10.526074896126003,9.551190841130436,16.086999538386756,18.64107720436477,premium,completed,15.0,20.173580822570013,27.277567714869495,12
20,15,4.632547223031449,9.775789468967268,8.55307663911857,13.582804307222977,van,completed,15.0,18.234400088705,21.877592393453593,15
21,15,16.357065077983,1.9189462171733163,19.954960427472614,2.9300209591246285,economy,completed,15.0,16.093193525147246,18.58470115259702,2
22,18,4.633992866933816,13.414646518998834,8.77691673823156,10.47989536627953,economy,completed,18.0,23.56528522686334,26.94999480125856,16
23,18,18.99877443445605,15.115546051220578,10.33002722987547,14.307296352709226,economy,completed,18.0,23.13357283352829,28.93780292591464,7
24,18,9.218819282559439,14.064624195463516,19.902660751127183,15.656314755132453,economy,completed,18.0,22.455259082431002,29.656430202100882,3
25,19,11.903283504136105,17.636350354068465,10.203430064554858,9.649166505627353,economy,completed,19.0,27.474354754554923,32.918397678087835,5
26,20,13.169700515480853,15.232177498888973,4.499977608450427,12.424980579000069,economy,completed,20.0,27.54917391498582,33.62442241769368,17
27,20,19.54468129291189,12.696616934980433,9.29097615533669,14.231529668973867,premium,completed,20.0,28.132102202158784,35.04407012097937,18
28,20,16.321398033861797,0.3427479271473999,14.58927267331891,12.128879038361555,van,completed,20.0,23.490464147045728,31.43228439279029,13
29,20,2.0091476127481678,16.312424325603743,3.9907609335198635,14.884913850037332,economy,completed,20.0,30.92992539136879,32.55809102734781,19
30,20,16.083787919867913,2.7574625623947813,8.687959683247836,5.073822217202366,economy,completed,20.0,22.58334434267903,27.750066809302748,2
31,21,1.4565073475595725,0.060745761644438456,16.743829946084027,13.168041268802387,premium,completed,27.0,34.14550240956446,47.57024619347697,14
32,22,10.058014163422687,0.550556329948737,15.079194806163942,3.473992758933331,premium,completed,28.0,40.71247174425726,44.58595628527333,12
33,22,8.089818992509377,13.499863687922364,17.28048201196843,2.697405078124917,economy,completed,22.0,25.964585703033137,35.4200109241815,8
34,23,11.148433456926343,19.338275194439277,10.759988404815477,7.646583104775289,economy,completed,23.0,35.77515065514502,43.57391276426695,6
35,23,6.168608888727116,12.981304844228074,10.771383451090369,18.294062510536342,economy,completed,23.0,31.543688428798,36.22988222632023,1
36,24,7.8593312975890495,16.814095366075115,12.666288049610328,7.8225162023592425,economy,completed,26.0,27.492309055244885,34.289541468291056,9
37,24,15.957297608952274,12.576803429296197,4.658276431200119,9.150764280751781,economy,completed,27.0,31.986866879820155,39.85821079507943,16
38,24,19.155092852102648,2.2393212728764933,7.584281989424994,7.292067589419576,economy,completed,28.0,35.22942359398728,43.64670500676338,2
39,26,5.839743235865469,17.89146410433342,8.83992969851594,12.792404475197806,van,completed,26.0,28.658137590721505,32.60227686661213,4
40,27,3.7909240651618403,13.569413102599624,7.121958306468208,15.90195270409897,economy,completed,29.0,33.387068972917774,36.09807781419343,7
41,28,18.51851844714545,10.052126434573163,18.975642222238594,14.851198106918442,premium,completed,36.0,42.75326910607294,45.96713151494156,18
42,28,18.711417858622106,15.07068633579083,5.832119365325483,12.449724024086198,economy,completed,30.0,30.884940744905037,39.64712649755346,3
43,28,7.903555703759173,3.495484479952151,7.080070442070772,9.532680226519329,premium,completed,45.0,49.783780858137334,53.84584713357384,12
44,28,19.213389959784458,2.5411146831497455,7.015600080353856,7.183495920455007,van,completed,28.0,31.785852947046457,40.486754087994086,11
45,29,7.798222235016185,5.6930664880421,3.0115718185635676,6.327010423262315,van,completed,29.0,34.28384405635837,37.502809184907086,15
46,29,2.843999085408395,4.086912323732901,8.407951051058173,5.003524584940296,economy,completed,33.0,39.149973655619206,42.90927261588376,5
47,29,4.8017686200196374,12.21209511859005,7.455780602689732,15.35633126071859,economy,completed,33.0,34.86210077764481,37.605172901428155,19
48,29,17.01647208080612,8.595547593176647,2.655868876126126,10.459801789640075,premium,completed,46.0,50.3701772653169,60.02424648476575,18
49,30,7.846055741097784,9.475867523229285,6.3367759502874605,16.75277957641044,economy,completed,34.0,36.973475832571744,41.92799675421186,17
50,30,10.771727959018584,19.698672070460034,16.815827144913218,9.091524059981547,economy,completed,35.0,43.017548423864795,51.15641877641455,9
51,30,0.9231471834855287,2.165086634655491,2.564210313327997,18.747688520149506,economy,completed,36.0,46.91066278904077,58.019733627052545,8
52,31,15.958554850120874,0.17690900757111327,7.012824151007761,3.462764624497312,economy,completed,37.0,49.02520386028176,55.37860871739369,7
53,32,12.987229148362232,0.9953325775598731,4.830530593487763,9.629280289932717,economy,completed,37.0,48.62671310098094,56.5450963370569,1
54,33,3.9921408215396936,18.371470720503574,10.45769815707008,13.636914421390802,premium,completed,48.0,57.181654500817345,62.5241239676255,14
55,34,2.3304097722023798,2.164709041471722,1.0631314837986672,4.304339979049003,economy,completed,38.0,47.43488380486275,49.09272910112967,19
